699,False,WINNER,WINNER
439,False,LOSER,LOSER
342,True,LOSER,LOSER
768,True,WINNER,WINNER
560,False,LOSER,LOSER
604,False,LOSER,LOSER
745,False,WINNER,WINNER
744,True,LOSER,LOSER
602,True,WINNER,WINNER
325,False,LOSER,LOSER
1,LIKELY
2,NEVER
3,NO, 
4,YES, Studies
5,22
6,MALE
7,
8,
com_3,DISAGREE
fai_3,DISAGREE
rel_1,DISAGREE
com_5,STRONGLY AGREE
fai_1,DISAGREE
com_1,NEUTRAL
fai_2,DISAGREE
com_2,AGREE
rel_5,AGREE
fai_5,DISAGREE
rel_2,AGREE
fai_4,DISAGREE
1683037518.5061383, 1683037548.156855, 1683037685.2489638